,PCCL3Ctrl_mean,PCCL3Ctrl_std,PCCL3Ctrl_n,PCCL3TSH0_mean,PCCL3TSH0_std,PCCL3TSH0_n,PCCL3TSH24_mean,PCCL3TSH24_std,PCCL3TSH24_n,PCCL3TSH48_mean,PCCL3TSH48_std,PCCL3TSH48_n,minuslog10_pvalue,fold_change,log2_fold_change
CL(72:2),7.0712690051481e-05,1.5700556177949282e-05,3,8.884718728756649e-05,2.4373873701393347e-06,3,6.54980542136656e-05,6.939169602830062e-06,3,5.6404081410292594e-05,1.0048888622982275e-05,3,2.2546417111380714,0.6348437483758805,-0.6555265442344805
CL(72:6),0.00045793292010420065,7.555989581226164e-05,3,0.00036324963384447274,2.1913056065278263e-05,3,0.00019689551596019494,0.00010283950800262073,3,0.0001877710430167748,4.342518512729803e-06,3,3.7721990669958325,0.516920116421012,-0.9519867477085474
CL(74:0),6.255749164672437e-05,6.778782290471674e-06,3,7.1949495941689e-05,7.520359162338316e-06,3,6.454118438278914e-05,7.394062003185646e-06,3,6.565573738092854e-05,6.448831687327489e-06,3,0.47763584973241474,0.9125253279625309,-0.13206349215109645
CL(74:4),7.066582500383729e-05,6.8195048289877664e-06,3,0.00011143760471680315,5.443460597212508e-06,3,6.925388085164763e-05,1.4865809926900384e-05,3,6.73353247744628e-05,1.2330009857957079e-05,3,2.320575914274562,0.6042423914762197,-0.7268006929678903
CL(74:8),0.00012353965295101938,1.8579362914329257e-05,3,0.00011529518608999114,1.0396816793140151e-05,3,5.720647176393694e-05,2.3004792257797397e-05,3,4.7967721342676966e-05,1.0099902374020334e-05,3,2.887459114804728,0.4160427071537645,-1.265196464990939
CL(72:7),0.00016301274418074183,3.587971722585753e-06,3,0.00012131508547590932,2.1358621601247676e-05,3,7.200198634529741e-05,3.060952547126888e-05,3,6.173661740063334e-05,9.392919364599657e-06,3,1.9397880370006377,0.5088948102245121,-0.9745606162889686
CL(74:1),7.382035976605836e-05,5.227857221113451e-06,3,8.248702460568416e-05,1.0970969104534839e-05,3,6.532635371790869e-05,4.78791325718389e-06,3,6.066966739781967e-05,1.676452761829361e-06,3,1.5661618180746608,0.7355055863372594,-0.44319179575878065
CL(74:5),8.713407347357061e-05,4.483948800498188e-06,3,0.00015387808856112068,5.504632886992046e-06,3,8.047270056537661e-05,2.934841173531241e-05,3,8.202207707145671e-05,5.181509394658305e-06,3,4.098533298393322,0.5330328563242933,-0.9077036309551386
CL(74:9),5.617643952410094e-05,1.5365765639322497e-05,3,8.881132113095504e-05,7.444238313049982e-06,3,3.475973676421541e-05,1.2774611274583575e-05,3,4.2359784579979366e-05,4.9268312365189985e-06,3,3.076108495774613,0.4769637929101241,-1.0680483418046054
CL(74:2),8.457435631284855e-05,4.319912672431033e-06,3,9.528116799374714e-05,7.092722232548284e-06,3,7.008844336046261e-05,2.4970593186589855e-06,3,6.0555528719693405e-05,5.487339614735839e-06,3,2.5897584036706514,0.6355456171954922,-0.653932414441086
CL(74:6),0.0001809845400123425,2.3210639999087485e-05,3,0.0002999078163279176,1.3398567544149217e-05,3,0.00012616258402527503,5.955364160601355e-05,3,0.0001092581137264522,5.495278696850409e-06,3,4.659305413596897,0.3643056558652341,-1.4567787017133786
CL(76:0),3.142255236643763e-05,2.1523999710017258e-06,3,3.9952902198248157e-05,4.445988509777919e-06,3,3.364236984781975e-05,3.7637934556788304e-06,3,3.4079251702059616e-05,5.710186907282023e-06,3,0.6335608306912354,0.8529856362613356,-0.22940664721134155
CL(76:4),4.4720060666749794e-05,3.0855847490701345e-06,3,6.565700997302127e-05,1.2929054240527696e-06,3,4.0797673132031874e-05,1.7972515705440626e-06,3,3.477800646370612e-05,3.398136951253658e-06,3,3.9056136267871526,0.5296922061786936,-0.9167738137205743
CL(76:8),4.341959856382716e-05,3.942962781542602e-06,3,8.257044776437701e-05,4.6033976739077756e-06,3,3.145477286802831e-05,7.999560455924043e-06,3,2.2849404825036965e-05,3.5986219006014666e-06,3,4.223221807668301,0.2767261828377147,-1.8534689418572468
CL(74:3),6.710660068618592e-05,2.2695607412418665e-06,3,9.094599137777437e-05,4.417258921997194e-06,3,6.0173929431239126e-05,3.821316931047948e-06,3,4.618208403811696e-05,3.5401346167784415e-06,3,3.7835682535318402,0.5077968070773383,-0.9776767712453309
CL(74:7),0.0002045847979389459,3.5148519336649195e-05,3,0.0002752344739815403,1.2305317048720887e-05,3,0.00010666647888610832,5.049787274868181e-05,3,8.618991273062055e-05,3.4258000193170445e-06,3,4.861530185148772,0.3131508618226408,-1.675070245497484
CL(76:1),3.865772423264049e-05,2.601473927605443e-06,3,5.449058129479152e-05,5.272347003294194e-06,3,4.181120764895213e-05,1.4984174703933303e-06,3,3.6517103032585145e-05,3.849988770590024e-06,3,2.0530800404292537,0.6701544040249692,-0.5774345631119404
CL(76:5),4.0241237231373356e-05,1.7160786025495046e-06,3,7.246403878494074e-05,1.4794122763593807e-06,3,4.046742917287352e-05,3.1164702389969505e-06,3,3.28960771338695e-05,2.932410308268026e-06,3,4.50622975083366,0.4539641687858263,-1.1393496642324457
CL(76:9),4.897228120725658e-05,5.427916659805842e-06,3,0.00012889282084117584,1.0564765184334839e-05,3,4.1989149985892494e-05,1.0852755218295289e-05,3,3.949391428764424e-05,5.944424899476634e-06,3,3.664618164700033,0.3064089530347806,-1.7064696425651844
CL(76:2),4.852863324111186e-05,5.96549560713101e-06,3,5.886015331700778e-05,4.704611771353946e-06,3,4.553250858432012e-05,1.731476567824552e-06,3,3.564425733856197e-05,7.429289534570985e-06,3,1.9897268412373805,0.6055753396799678,-0.7236216379880895
CL(76:6),4.129216732666276e-05,2.869805699601663e-06,3,7.83992632577059e-05,3.6901064843409852e-06,3,3.448125665945253e-05,1.0981796196669173e-05,3,2.984479035655029e-05,2.49369139359572e-06,3,4.3342036992800566,0.3806769236905659,-1.3933609772756843
CL(76:3),4.7210920476761026e-05,1.8784463040952183e-06,3,6.298744755902504e-05,5.504063651622406e-06,3,4.0916395254982416e-05,3.3008274545815174e-06,3,3.0007210847184112e-05,6.619336201577317e-06,3,2.572402949725044,0.4763998544164628,-1.0697551225599768
CL(76:7),3.5974242050885017e-05,4.322170944815949e-06,3,7.034141990091369e-05,3.185556219844973e-06,3,2.6942309859876307e-05,7.006497017705656e-06,3,2.202557391215594e-05,3.9818917782876554e-07,3,4.890490988408015,0.31312381727838623,-1.6751948458723847
CL(56:0),0.00029395693538067824,0.00010204129586409522,3,0.0003045559945990866,6.972515300395615e-06,3,0.00029257175161748455,0.0001072797954768982,3,0.0002588016233042789,1.9867071758670445e-05,3,1.7053468488409564,0.8497669653324732,-0.23486083487628623
CL(68:5),6.700508992013343e-05,4.533785519017578e-06,3,3.403560064004884e-05,6.431413871613831e-06,3,4.961599841231792e-05,2.1467759679012435e-05,3,7.453960951688085e-05,6.496033872826948e-06,3,2.809695101310239,2.190048305748774,1.1309626916052697
CL(70:7),3.216546270977359e-05,2.616780370914241e-06,3,1.7846017301851078e-05,9.162398254002899e-07,3,1.6067311756692135e-05,4.449163979933014e-06,3,1.8186783562624217e-05,2.123537928089978e-06,3,0.09089795345677638,1.0190948072619985,0.027288272901413318
