Class,PCCL3Ctrl,PCCL3Ctrl,PCCL3Ctrl,PCCL3TSH0,PCCL3TSH0,PCCL3TSH0,PCCL3TSH24,PCCL3TSH24,PCCL3TSH24,PCCL3TSH48,PCCL3TSH48,PCCL3TSH48
GL03_TAG,6716007.578125,3837615.3671875,4800689.0625,1698172.203125,1975578.359375,1851281.9765625,7326226.390625,7818170.3125,9626821.3125,12210582.9375,14636611.8125,14379142.40625
GL03_TAG,25796685.875,13923181.90625,17766370.9375,5987159.03125,6362192.5,6594690.71875,33667364.375,34098939.0,44498412.125,65805845.75,67334932.0,62559690.125
GL03_TAG,8359981.625,3870268.9375,5028009.03125,1858887.375,1989007.015625,1790424.203125,16924989.0,15735215.75,23042803.203125,22914992.421875,22906146.25,20841440.5
GL03_TAG,798385.373046875,900040.6484375,700980.1328125,335195.017578125,579397.98828125,428754.015625,793359.123046875,936720.5390625,1056168.927734375,698298.443359375,688751.580078125,892397.736328125
GL03_TAG,1101709.96875,468388.78515625,473791.0625,333484.71484375,333484.71484375,333484.71484375,2374184.34375,2410119.6875,3496307.5,2673541.25,2946593.375,2477112.8125
GL03_TAG,1814636.8359375,1863212.171875,1927974.0,924872.12109375,1142371.591796875,917908.7578125,2050298.453125,2644555.3359375,3168070.67578125,2238315.58203125,2278865.625,1961872.109375
GL03_TAG,1193417.734375,1024534.140625,1103650.15625,563270.3515625,882530.796875,761157.265625,1468704.92578125,2211639.9375,2813347.2578125,1641987.5625,1684019.75,1571367.875
GL03_TAG,30853618.5,17582624.828125,22764033.5,7973695.25,7931897.625,7246893.125,49519153.0,47092241.5,64695313.5,89007687.0,90104514.0,86164774.75
GL03_TAG,6749902.875,3291750.71875,4008059.73828125,1414208.3125,1549493.046875,1345175.5,12142252.5,11352829.75,16263345.75,21586104.875,20106259.71875,20239964.25
GL03_TAG,2471127.484375,2397225.05078125,2165714.16015625,1073594.296875,1342056.4453125,1285149.8203125,1985022.171875,1848759.587890625,2447100.7578125,2663620.8359375,2562811.49609375,2482082.65625
GL03_TAG,2649376.796875,1944910.6484375,2011508.0078125,909377.98828125,961059.5859375,857696.390625,2078789.3203125,2192991.08203125,3013150.734375,2894259.640625,2839028.90625,2981968.0
GL03_TAG,696422.3515625,575141.8671875,571067.8828125,301875.7578125,301875.7578125,301875.7578125,975536.86328125,1060682.53125,1493194.8125,1402862.3125,1259446.1875,1231813.0
GL03_TAG,12389209.25,9595137.25,12316381.875,3086457.984375,2742111.546875,2826740.3125,6969602.59375,8006470.9375,8567076.3125,17504155.3125,17916095.1875,18959549.625
GL03_TAG,49130710.125,35468548.0,47682577.875,12434489.46875,11494066.75,11834359.3125,31807256.25,33540771.25,39949644.0,107743059.0,120756074.0,106753791.25
GL03_TAG,62877673.5,42907680.5,57692766.75,18581101.59375,18062216.625,17506778.5,52647168.75,55984836.0,64854270.0,164770557.5,181093306.0,163287231.0
GL03_TAG,628263.7724609375,630809.943359375,450443.13671875,408316.353515625,408316.353515625,408316.353515625,534916.7119140625,609279.3715820312,683642.03125,389466.251953125,591169.982421875,495293.7705078125
GL03_TAG,18523616.921875,11411450.8671875,15510140.796875,5388122.0625,5599803.8125,5166275.625,22974901.875,21913747.75,29107825.0,61272993.0,58922434.0,56965037.5
GL03_TAG,1650773.21484375,1655895.6015625,1876951.328125,903166.6640625,808111.2197265625,880733.8583984375,1319424.138671875,1251023.30078125,1472955.4765625,1665919.25,1657386.3671875,1919721.5234375
GL03_TAG,3970900.79296875,2482944.59375,3111012.90625,1343266.59375,1146934.015625,1224013.578125,5037797.578125,4908700.1171875,7088160.375,10140527.0,10153246.625,9522343.625
GL03_TAG,2534425.171875,1963908.5625,2454054.3125,818510.2734375,787746.107421875,756981.94140625,1478379.828125,1547134.93359375,1582523.703125,2683328.240234375,2922335.03125,2842822.3125
GL03_TAG,1082321.21875,604127.8671875,942716.1171875,309034.759765625,309034.759765625,309034.759765625,766358.1796875,1000495.921875,1024115.546875,1663053.25,1830702.125,1524741.21875
GL03_TAG,27386163.3125,23264015.5625,29313304.375,6680829.046875,6488962.484375,6417700.671875,13218592.375,16313577.125,15036210.25,53222277.5,58192706.5,52476021.75
