,siCREB3L1_mean,siCREB3L1_std,siCREB3L1_n,Scramble_mean,Scramble_std,Scramble_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(45:3),2.603459267404449e-05,3.5907911630804523e-06,3,2.4413374231222388e-05,8.519799048532057e-06,3,0.1098658810385783,1.066406979529635,0.09275812786870659
DAG(46:2),6.592866844823124e-05,7.576810872841087e-06,3,6.581737869280339e-05,9.09350213187606e-06,3,0.005336840914572063,1.001690887082381,0.0024373743263068695
DAG(46:3),2.1119529097355916e-05,1.6184873996414068e-06,3,2.7087264285076147e-05,2.2600995347583943e-06,3,1.6881576884572151,0.77968483177505,-0.359037026709528
DAG(47:1),1.4184088261040763e-05,3.5304990985387107e-06,3,1.5912424175288724e-05,1.8168557781040794e-06,3,0.3072971087627781,0.8913844996080491,-0.16588022091573712
DAG(47:2),6.358197868630592e-05,1.3349569006279526e-05,3,7.142334025067483e-05,6.001057788656395e-07,3,0.4354101613814051,0.8902128976767533,-0.16777769173872664
DAG(47:3),1.6919002734155623e-05,1.2783042022085496e-06,3,1.8746901089918335e-05,1.564198657552509e-06,3,0.7164226369672051,0.902495972694617,-0.14800760076729647
DAG(48:1),1.0852261585022285e-05,8.199355367201979e-07,3,1.1927208043858631e-05,9.951790283134415e-07,3,0.6531498650384291,0.9098744270340919,-0.13626064407703534
DAG(48:2),6.219517705961709e-05,1.2627395380276e-05,3,7.20468765607973e-05,7.055380910379577e-06,3,0.5178411127904722,0.8632598667498543,-0.21213317622893163
DAG(48:3),1.79417344981991e-05,2.1459834571277126e-06,3,2.037853916262018e-05,5.1896320636371155e-06,3,0.3061725553185516,0.8804229957321549,-0.18373126747311402
DAG(49:2),5.25743782857413e-05,1.3794964731576306e-05,3,5.229871575500373e-05,1.2600672191592833e-05,3,0.008403468648647848,1.0052709235161514,0.007584364428591306
DAG(49:3),1.5265654672672014e-05,1.1533865691827424e-06,3,1.4378699106843342e-05,1.1997258497496968e-06,3,0.3891317135363819,1.0616853833047064,0.08635630550880155
DAG(50:2),5.366969154179908e-05,1.2374359869962179e-05,3,5.658693500114607e-05,3.412561727588947e-06,3,0.14634332347693943,0.9484466960564677,-0.0763614003185409
DAG(51:13),0.0009902335425137439,6.5993775043595e-05,3,0.0014133209837760199,2.3770172684816775e-05,3,3.323918777900124,0.7006430626028786,-0.5132484337608101
DAG(51:2),5.13859628632342e-05,8.694060342022264e-06,3,5.2861188740916966e-05,3.4315206354924024e-06,3,0.09794266630508383,0.9720924573809125,-0.04083455733062349
DAG(51:3),1.760975008764637e-05,1.3304931673920055e-06,3,1.9838585303920042e-05,5.085739010250399e-06,3,0.2980390330396281,0.887651504271665,-0.17193471531821902
DAG(52:2),3.602866375586038e-05,5.570087490293286e-06,3,4.318340999748068e-05,3.603125211074179e-06,3,0.8692273078068405,0.8343172472475494,-0.2613320253640018
DAG(53:2),5.021134682105583e-05,8.181304184966134e-06,3,3.820333064309871e-05,4.732554678595897e-06,3,1.0334083745232376,1.3143185679316243,0.3943150021987214
DAG(54:2),3.491688490647928e-05,8.21154599010186e-06,3,3.711860148341043e-05,7.557294324534938e-06,3,0.12507586360400605,0.940684279877431,-0.08821749975912066
DAG(55:2),3.110125622777227e-05,3.995487085996603e-06,3,4.4331041153198226e-05,6.074988291339403e-06,3,1.4626122430896833,0.7015683687710659,-0.5113443916398468
DAG(55:3),1.7374185127184636e-05,1.3126952106458066e-06,3,1.7677971728476625e-05,5.112074888093208e-06,3,0.033677820990775764,0.9828155285030447,-0.025007442399585196
DAG(56:14),0.0006256272760203368,7.261920328702329e-06,3,0.0006895977273911036,2.7047958944611374e-05,3,1.776526156035594,0.9072351186353517,-0.14045160749474947
DAG(56:2),2.543119885571311e-05,2.7568428388783607e-06,3,3.0445698470676924e-05,3.458350627820966e-06,3,0.9171258708914046,0.8352969428573493,-0.2596389370224771
DAG(57:2),4.059709227710308e-05,6.861011810446918e-06,3,4.651155844853475e-05,4.726595699175109e-06,3,0.5432737499629586,0.8728387874171952,-0.196212880976677
DAG(58:2),2.339812782571073e-05,7.264804751972663e-07,3,3.208430568288619e-05,1.8532445296867349e-06,3,2.7845701458378,0.7292701938752354,-0.45547466422631283
DAG(59:2),3.345462782010948e-05,2.0045110434219045e-06,3,2.8089681786572597e-05,5.0543621299431665e-06,3,0.7887916198978607,1.1909934784701417,0.25216551345010013
DAG(60:2),3.122292810840874e-05,2.358792858039899e-06,3,3.645403218775555e-05,7.780996304075487e-06,3,0.48470764580563247,0.8565013589606729,-0.22347255953632716
DAG(25:7),0.00017127756288252177,2.4405236076943358e-05,3,0.00017299032012530152,2.7786765061600726e-05,3,0.026909595846304982,0.9900991151323429,-0.014355139642159785
DAG(26:2),0.0006927338998469926,7.026116766508644e-05,3,0.0007282692917087398,6.63620162562706e-05,3,0.2527074945983315,0.951205697856118,-0.0721707378313958
DAG(26:3),4.5822189094015426e-05,3.4620655716915037e-06,3,3.997396446569086e-05,3.3353363979666495e-06,3,0.9878870010032653,1.1463008412223916,0.19698572226334282
DAG(45:1),7.736450356269421e-05,5.12646978953215e-06,3,8.167146618740365e-05,1.2159359440068258e-05,3,0.2203614581599199,0.9472647813763174,-0.07816034777340593
DAG(45:2),6.643862000385035e-05,1.6869590205237965e-05,3,6.794718289794548e-05,9.544740217157279e-06,3,0.04610708730968457,0.9777980067788691,-0.03239163044249017
DAG(46:0),2.7500363169004432e-05,8.709496906994526e-06,3,1.8723754598527e-05,1.5622673671174788e-06,3,0.7933615998319722,1.468741914144073,0.554580909239266
DAG(46:1),6.957584019831484e-05,4.957022156443077e-06,3,8.126867643752807e-05,1.1990611371580828e-05,3,0.7131698297050664,0.8561212418882985,-0.2241129726944916
DAG(46:2),5.5498440490500943e-05,9.718121384605927e-06,3,7.227174916748689e-05,1.4220983732410755e-05,3,0.7774429640191385,0.7679133427625437,-0.3809845795406397
DAG(47:1),6.543431142158454e-05,8.578571190072437e-06,3,7.447895755932555e-05,1.7031443040759075e-05,3,0.33960132541712507,0.8785610535628593,-0.18678554842402506
DAG(47:2),6.277371375315462e-05,1.4241847664964017e-05,3,6.419784645189738e-05,8.417964878927501e-06,3,0.05125001507436275,0.9778165035518778,-0.03236433958066447
DAG(48:0),8.90610754165242e-05,1.530498263200096e-05,3,6.39386219751247e-05,4.204982625147877e-06,3,1.285455012430459,1.3929151530849913,0.47810738144844067
